Code,Name,Purchase Price,Tax,Retail Price,Category Code
8.41E+12,Torres 5 750ml,,0,,9
8.41E+12,Torres 10 750ml,,0,,9
7.50E+12,Añejo los reyes 940ml,,0,,9
7.50E+12,Añejo los reyes 700ml,,0,,9
7.50E+12,Bacardi añejo 750ml,,0,,9
7.50E+12,Kraken black spiced 750ml,,0,,9
7.31E+12,Vodka absolut azul 750ml,,0,,9
7.31E+12,Vodka absolut mango 750ml,,0,,9
7.31E+12,Vodka absolut raspberri 750ml,,0,,9
7.50E+12,Anis mico Dulce 250ml,,0,,9
7.50E+12,Anis mico dulce 1 lt,,0,,9
5.01E+12,Crema de whisky baileys 750ml,,0,,9
5.01E+12,Crema de whisky baileys 1 lt,,0,,9
7.50E+12,Rompope coronado 900ml,,0,,9
7.50E+12,Rompope santa clara 1 lt,,0,,9
89540468655,Ron malibu 750ml,,0,,9
7.50E+12,Don pedro 1 lt,,0,,9
7.50E+12,Ron appleton blanco 950ml,,0,,9
7.50E+12,Ron appleton blanco 750ml,,0,,9
7.50E+12,Ron appleton state 750ml,,0,,9
7.50E+12,Ron matusalem platino,,0,,9
7.50E+12,Cuervo especial reposado 990ml,,0,,9
7.50E+12,Cuervo tradicional reposado 950ml,,0,,9
7.50E+12,Cuervo tradicional reposado 695ml,,0,,9
7.45E+11,El jimador reposado 700ml,,0,,9
7.45E+11,El jimador reposado 200ml,,0,,9
7.50E+12,don pedro 200ml,,0,,9
82184042397,Jack daniels honey 700ml,,0,,9
7.50E+12,Oso negro 250ml,,0,,9
7.50E+12,Sauza hacienda reposado 500ml,,0,,9
7.50E+12,Vodka Zaverich premium 1lt,,0,,9
7.50E+12,Charanda uruapan blanco 940ml,,0,,9
7.50E+12,Charanda uruapan blanco 355ml,,0,,9
82000747345,Captain morgan 750ml,,0,,9
80516135144,V.T. Riunite lambrusco 750ml,,0,,9
7.50E+12,100 Años Azul reposado 200ml,,0,,9
7.45E+11,El jimador reposado 950ml,,0,,9
7.21E+11,Vodka skyy 750ml,,0,,9
5.90E+12,Vodka wyborowa 1 lt,,0,,9
7.50E+12,Cuervo 1800 añejo 700ml,,0,,9
7.50E+12,Cuervo 1800 blanco 700ml,,0,,9
7.50E+12,Sauza hornitos reposado 200ml,,0,,9
50196081,Black & white 1 lt,,0,,9
50196913,Buchanans 18 años,,0,,9
7.50E+12,don pedro 500ml,,0,,9
7.50E+12,Matusalem clasico 750ml,,0,,9
7.50E+12,V.T. California tetra pak 1 lt,,0,,9
7.50E+12,Azteca de oro 700ml,,0,,9
6.98E+11,Casco viejo joven 950ml,,0,,9
4.75E+12,Vodka Stolichnaya 750ml,,0,,9
7.50E+12,Cuervo especial reposado 695ml,,0,,9
7.50E+12,Antillano oro 250ml,,0,,9
5.00E+12,Passport 200ml,,0,,9
7.50E+12,Antillano blanco 1 lt,,0,,9
7.50E+12,Bacardi añejo 1 lt,,0,,9
7.50E+12,Cocktel piña colada esperry 750ml,,0,,9
7.50E+12,Jerez 3 coronas 1 lt,,0,,9
7.50E+12,Cazadores reposado 1 lt,,0,,9
7.59E+11,Teq. 3 caballos reposado 200ml,,0,,9
7.50E+12,Cocktel medias de seda sperry 750ml,,0,,9
7.50E+12,100 años verde añejo 700ml,,0,,9
7.51E+12,Don julio 70 añejo 750ml,,0,,9
7.31E+12,Vodka absolut pear 750ml,,0,,9
7.31E+12,Vodka absolut citron 750ml,,0,,9
7.31E+12,Vodka absolut mandarina 750ml,,0,,9
7.51E+12,Don julio reposado 750ml,,0,,9
5.01E+12,Wky. clan mac gregor 750ml,,0,,9
5.01E+12,Wky. j & b 750ml,,0,,9
5.01E+12,Wky. j & b 1 lt,,0,,9
7.50E+12,Ron baraima blanco 700ml,,0,,9
7.45E+11,Herradura blanco 700ml,,0,,9
7.50E+11,San matias reposado 250ml,,0,,9
7.45E+11,Herradura reposado 700ml,,0,,9
7.51E+12,Suavitel momentos magicos besos de flores 750ml,,0,,13
7.51E+12,Suavitel dulces placeres fresas y chocolate 750ml,,0,,13
7.51E+12,Suavitel dulces placeres toronja y flor de cereza 750ml,,0,,13
7.51E+12,Suavitel momentos magicos abrazo de sol 750ml,,0,,13
7.51E+12,Suavitel complete armonia de durazno 800ml,,0,,13
7.51E+12,Suavitel complete fresca primavera 800ml,,0,,13
7.51E+12,Suavitel momentos magicos abrazo de amor 750ml,,0,,13
7.51E+12,Suavitel complete fresco aroma de sol 800ml,,0,,13
7.51E+12,Suavitel complete anochecer 800ml,,0,,13
7.51E+12,Suavitel complete orquideas blancas 800ml,,0,,13
7.51E+12,Suavitel complete acqua 800ml,,0,,13
7.50E+12,Ensueño max Zero enjuague rocio de violetas 850ml,,0,,13
7.50E+12,Ensueño max Zero enjuague sensacion natural 850ml,,0,,13
7.50E+12,Ensueño Zero enjuague frescura primaveral 850ml,,0,,13
7.50E+12,Ensueño naturela coco   karite 850ml,,0,,13
7.50E+12,Ensueño naturela pepino   bambu 850ml,,0,,13
7.50E+12,Ensueño naturela avena   almendra 850ml,,0,,13
7.50E+12,Ensueño bebe con aloe vera 850ml,,0,,13
7.50E+12,Ensueño max fresca armonia 850ml,,0,,13
7.50E+12,Ensueño max fresco verano 850ml,,0,,13
7.50E+12,Ensueño naturela manzanilla   aloe 850ml,,0,,13
7.50E+12,Jabon det. ace 250gr,,0,,13
7.50E+12,Jabon ace Det. 500gr,,0,,13
7.50E+12,Det Maestro limpio 500gr,,0,,13
7.50E+12,Det. Bold 3 en 1  850gr,,0,,13
7.50E+12,Det Ace 900gr,,0,,13
7.50E+12,Det. roma de 250gr,,0,,13
7.50E+12,Det. blanca Nieves 250gr,,0,,13
7.50E+12,Det. Foca 250gr,,0,,13
7.50E+12,Det. roma 500gr,,0,,13
7.50E+12,Det. Maestro limpio 250gr,,0,,13
7.50E+12,Det. bold 3 en 1 500gr,,0,,13
7.50E+12,Det. ariel 850gr,,0,,13
7.50E+12,Det. Foca 1 kg,,0,,13
120100,Jabon pasta tepeyac,,0,,13
7.50E+12,Det. salvo 250gr,,0,,13
7.50E+12,Det. salvo 500gr,,0,,13
7.51E+12,Det. salvo 1 kg,,0,,13
7.50E+12,Det. roma 1 kg,,0,,13
7.50E+12,Det. ariel 500gr,,0,,13
7.50E+12,Det. ariel 250gr,,0,,13
7.50E+12,Hortensia supreme 450 hjs,,0,,13
7.50E+12,Hortensia supreme 400 hjs,,0,,13
7.50E+12,Hig. Vogue 400 hjs,,0,,13
7.71E+12,Servilletas prueba 125 pzas,,0,,13
7.50E+12,Servilletas prueba 500 pzas,,0,,13
7.50E+12,servilletas petalo 100 pzas,,0,,13
7.50E+12,Servilletas petalo 220 pzas,,0,,13
7.50E+12,P. aluminio alupack 7.5m * 29cm,,0,,13
10900000406,P. aluminio reynolds wrap 7.62m * 30.4 cm,,0,,13
7.50E+12,plato pastelero reyma 006 25 pzas,,0,,13
41594206607,Vaso termico 10JY10 dark 10 oz 25 pzas,,0,,13
6.43E+11,plato pozolero orion 25 pzas PH8,,0,,13
7.50E+12,Tenedor sopero 25 pzas foriba,,0,,13
7.50E+12,Vaso platico Reyma 50 pzas 8 oz,,0,,13
6.43E+11,Charola 066 orion 50 pzas,,0,,13
6.43E+11,Charola 855 25 pzas orion,,0,,13
7.06E+11,Whiskas sobre fillets salmon 85gr,,0,,13
7.06E+11,Whiskas sobre  fillets parrillada mixta 85gr,,0,,13
7.06E+11,Whiskas sobre fillets pescado blanco 85gr,,0,,13
7.06E+11,Whiskas sobre fillets pavo 85gr,,0,,13
7.50E+12,Det. liquido mas color 830ml,,0,,13
7.50E+12,Det. Mas oscura 415ml,,0,,13
7.50E+12,Cuchara pastelera 50 pzas foriba,,0,,13
7.06E+11,Pedigree lata 375gr adulto res en filetes,,0,,13
7.06E+11,Pedigree lata 625gr adulto res en filetes,,0,,13
7.06E+11,Whiskas lata fillets salmon 156gr,,0,,13
23100335476,Whiskas lata fillets res 156gr,,0,,13
7.06E+11,Whiskas lata pate atun 156gr,,0,,13
7.06E+11,Pedigree sobre razas pequeñas pollo en filetes 100gr,,0,,13
7.06E+11,Pedigree sobre cachorro res en filetes 100gr,,0,,13
7.06E+11,Pedigree sobre adulto pollo en filetes 100gr,,0,,13
7.50E+12,Microdyn Microbicida 15ml,,0,,13
12101,Cafe vaso chico pza,,0,,20
12102,Cafe vaso grande pza,,0,,20
7.50E+12,Jumex lt botella 1 lt durazno,,0,,1
