Code,Name,Purchase Price,Tax,Retail Price,Category Code
248,Veladora Aramo No.4,,0,16,13
249,Veladora Aramo N°8,,0,25,13
250,Gel extreme 250gr,,0,12,16
251,Gel Ego 200ml,,0,12,16
252,SPRAY ANTICERAMIDAS CAPRICE PZ 316 ml,,0,36,16
253,Caprice Fijador Aerosol Extracto de sabila 316ml,,0,36,16
254,Caprice Fijador Aerosol Kiwi y lavanda 316ml,,0,36,16
255,Caprice Final Touch Spray 346ml,,0,36,16
256,Caprice Fijador Aerosol Granada 316ml,,0,36,16
257,Caprice Fijador Aerosol extracto de algas 316ml,,0,36,16
258,Shampoo Caprice Extracto de mamey 220ml,,0,13,16
259,Shampoo Caprice Biotina 220ml,,0,13,16
260,Shampoo Caprice Acti-Ceramidas 220ml,,0,13,16
261,Shampoo Caprice Extractos Citricos 220ml,,0,13,16
262,Shampoo Caprice Extracto de manzana 220ml,,0,13,16
263,Jabon zote blanco 200gr,,0,7.5,13
264,Jabon zote rosa 200gr,,0,7.5,13
265,Jabon zote rosa 400gr,,0,15,13
266,Jabon zote blanco 400gr,,0,15,13
267,Jabon blanca nieves liquido 1 lt,,0,26,13
268,jabon roma liquido 1 lt,,0,22,13
269,Ariel Liquido Concentrado 500ml,,0,38,13
270,jabon foca liquido 1 lt,,0,27,13
271,Blanqueador los patitos 1 lt,,0,10,13
272,Blanqueador cloralex 950ml,,0,11,13
273,Blanqueador clorox 930ml,,0,11,13
274,Blanqueador clorox 500ml,,0,6,13
275,Blanqueador cloralex 500ml,,0,6,13
276,Limpiador pinol 500ml,,0,12,13
277,Limpiador Pinol 1 lt,,0,17,13
278,Fabuloso lavanda 500ml,,0,12,13
279,Fabuloso mar fresco 500ml,,0,12,13
280,Fabuloso fresco amanecer 500ml,,0,12,13
281,Det Ajax Bicloro 388 Gr,,0,17,13
282,AXION LIQUIDO LIMON 400ML,,0,14,13
283,Det Liquido Salvo 300 Ml,,0,12,13
284,Det. liquido salvo limon 900ml,,0,0,13
285,Det. liquido axion limon 900ml,,0,0,13
286,Det. liquido mas color 415ml,,0,0,13
287,"Servilleta Marli ""Interfoliada"" c/250 Pz",,0,0,13
288,poett 900ml frescura frutal,,0,0,13
289,Poett 900ml primavera,,0,0,13
290,Poett 900ml bosque de bambu,,0,0,13
291,fabuloso energia naranja 1 lt,,0,19,13
292,fabuloso alternativa al cloro 1 lt,,0,19,13
293,fabuloso fresco amanecer 1 lt,,0,19,13
294,fabuloso lavanda 1 lt,,0,19,13
295,fabuloso menta y orquidea 1 lt,,0,19,13
296,fabuloso pasion de frutas 1 lt,,0,0,13
297,fabuloso mar fresco 1 lt,,0,19,13
298,Vel rosita 1 lt,,0,42,13
299,Vel rosita 450ml,,0,19,13
300,suavitel cuidado superior fresca primavera 450ml,,0,12,13
301,suavitel cuidado superior fresco aroma de sol 450ml,,0,12,13
302,suavitel cuidado superior fresco aroma de sol 850ml,,0,21,13
303,suavitel cuidado superior fresca primavera 850ml,,0,0,13
304,suavitel cuidado superior anochecer 850ml,,0,0,13
305,Suavitel baby antibacterial 850ml,,0,0,13
306,VANISH ROSA LIQUIDO 925 ML,,0,0,13
307,VANISH ROSA LIQUIDO 450 ML,,0,17,13
308,Agua bonafont natural 1.5 lt,,0,11,1
309,Agua bonafont natural 1 lt,,0,9,1
310,Victoria mega 1.2 lt,,0,35,11
311,Victoria media 355ml,,0,13,11
312,Agua nestle 600ml,,0,0,1
313,Agua Sta maria 1.5 lt,,0,0,1
314,Bonafont Juizzy jamaica 1.5 lt,,0,17,1
315,Cañazo 960ml,,0,20,2
316,jumex LT botella 500ml Manzana,,0,13,1
317,jumex LT botella 500ml Mango,,0,13,1
318,jumex LT botella 500ml Fresa,,0,13,1
319,jumex LT botella 500ml Durazno,,0,13,1
320,jumex LT botella 500ml Coco-piña,,0,13,1
321,Cerveza carta blanca 940ml Ret.,,0,25,11
322,XX Equis 1.2 lt Ret.,,0,35,11
323,Corona mega 1.2 lt Ret.,,0,35,11
324,Vive 100 500ml te verde,,0,12,1
325,Vive 100 500ml manzana,,0,12,1
326,Jumex tetrapack 1 lt piña,,0,20,1
327,Jumex tetrapack 1 lt naranja,,0,20,1
328,Jumex tetrapack 1 lt uva,,0,20,1
329,Cola cola sin azucar 600ml,,0,10,1
330,Volt lata 473ml guarana,,0,15,1
331,Valle frut mango 600ml,,0,11,1
332,Cola cola 600ml,,0,13,1
333,Coca cola light 600ml,,0,13,1
334,Agua nestle 4 lt,,0,0,1
335,Coca cola Ret. 500ml,,0,8,1
336,Monster energy 473ml,,0,30,1
337,Sprite 600ml,,0,11,1
338,Fresca 600ml,,0,11,1
339,Huasteco 440ml,,0,12,2
340,Corona cero lata 335ml,,0,13,11
341,Valle frut manzana 600ml,,0,11,1
342,Tecate lata 473ml,,0,15,11
343,Indio lata 473ml,,0,15,11
344,Corona extra lata 335ml,,0,0,11
345,Modelo lata 355ml,,0,15,11
346,Sol sal y limon  lata 355ml,,0,0,11
347,Sol clamato 473ml,,0,18,11
348,Winston 24's,,0,0,19
349,Victoria lata 473ml,,0,18,11
350,Camel 14's,,0,38,19
351,Presidente 200ml,,0,31,9
352,Rancho escondido 750ml,,0,55,9
353,Rancho escondido 200ml,,0,0,9
354,Rancho escondido 1.750 ml,,0,130,9
355,Licor de cafe Kahlua 1 lt,,0,176,9
356,Antillano oro 1 lt,,0,124,9
357,Appleton special 750ml,,0,122,9
358,Bacardi blanco 375ml,,0,72,9
359,Bacardi blanco 200ml,,0,42,9
360,Gran centenario reposado 950ml,,0,280,9
361,Vodka karat 1 lt,,0,124,9
362,Vodka oso negro 1 lt,,0,93,9
363,Vodka smirnoff 750ml,,0,157,9
364,Vodka smirnoff 1 lt,,0,192,9
365,Buchanan's 12 años 750ml,,0,715,9
366,Red label J. Walker 700ml,,0,290,9
367,Jack daniels 750ml,,0,403,9
368,Bacardi añejo 200ml,,0,34,9
369,Passport 700ml,,0,176,9
370,William lawsons 750ml,,0,140,9
371,Bacardi blanco 980ml,,0,160,9
372,Bacardi blanco 750ml,,0,135,9
373,100 años azul reposado 700ml,,0,143,9
374,Cabrito rep. con bot/375ml 1 lt,,0,142,9
375,Centenario azul reposado 950ml,,0,237,9
376,Centenario azul reposado 750ml,,0,186,9
377,Teq. Jarana reposado 1 lt,,0,121,9
378,Black & WHITE 750ml,,0,165,9
379,Red label J. walker 1 lt,,0,377,9
380,Passport 1 lt,,0,235,9
381,Presidente 940ml,,0,127,9
382,Presidente 700ml,,0,100,9
383,Presidente 500ml,,0,76,9
384,Torres 5 750ml,,0,194,9
385,Torres 10 750ml,,0,306,9
386,Añejo los reyes 940ml,,0,72,9
387,Añejo los reyes 700ml,,0,59,9
388,Bacardi añejo 750ml,,0,117,9
389,Kraken black spiced 750ml,,0,176,9
390,Vodka absolut azul 750ml,,0,275,9
391,Vodka absolut mango 750ml,,0,275,9
392,Vodka absolut raspberri 750ml,,0,275,9
393,Anis mico Dulce 250ml,,0,35,9
394,Anis mico dulce 1 lt,,0,120,9
395,Crema de whisky baileys 750ml,,0,0,9
396,Crema de whisky baileys 1 lt,,0,0,9
397,Rompope coronado 900ml,,0,0,9
398,Rompope santa clara 1 lt,,0,0,9
399,Ron malibu 750ml,,0,198,9
400,Don pedro 1 lt,,0,0,9
401,Ron appleton blanco 950ml,,0,0,9
402,Ron appleton blanco 750ml,,0,0,9
403,Ron appleton state 750ml,,0,0,9
404,Ron matusalem platino,,0,0,9
405,Cuervo especial reposado 990ml,,0,0,9
406,Cuervo tradicional reposado 950ml,,0,0,9
407,Cuervo tradicional reposado 695ml,,0,0,9
408,El jimador reposado 700ml,,0,0,9
409,El jimador reposado 200ml,,0,0,9
410,don pedro 200ml,,0,0,9
411,Jack daniels honey 700ml,,0,0,9
412,Oso negro 250ml,,0,0,9
413,Sauza hacienda reposado 500ml,,0,0,9
414,Vodka Zaverich premium 1lt,,0,0,9
415,Charanda uruapan blanco 940ml,,0,0,9
416,Charanda uruapan blanco 355ml,,0,0,9
417,Captain morgan 750ml,,0,0,9
418,V.T. Riunite lambrusco 750ml,,0,0,9
419,100 Años Azul reposado 200ml,,0,0,9
420,El jimador reposado 950ml,,0,0,9
421,Vodka skyy 750ml,,0,0,9
422,Vodka wyborowa 1 lt,,0,0,9
423,Cuervo 1800 añejo 700ml,,0,0,9
424,Cuervo 1800 blanco 700ml,,0,0,9
425,Sauza hornitos reposado 200ml,,0,0,9
426,Black & white 1 lt,,0,0,9
427,Buchanans 18 años,,0,0,9
428,don pedro 500ml,,0,0,9
429,Matusalem clasico 750ml,,0,0,9
430,V.T. California tetra pak 1 lt,,0,0,9
431,Azteca de oro 700ml,,0,0,9
432,Casco viejo joven 950ml,,0,0,9
433,Vodka Stolichnaya 750ml,,0,0,9
434,Cuervo especial reposado 695ml,,0,0,9
435,Antillano oro 250ml,,0,0,9
436,Passport 200ml,,0,0,9
437,Antillano blanco 1 lt,,0,0,9
438,Bacardi añejo 1 lt,,0,0,9
439,Cocktel piña colada esperry 750ml,,0,0,9
440,Jerez 3 coronas 1 lt,,0,0,9
441,Cazadores reposado 1 lt,,0,0,9
442,Teq. 3 caballos reposado 200ml,,0,0,9
443,Cocktel medias de seda sperry 750ml,,0,0,9
444,100 años verde añejo 700ml,,0,0,9
445,Don julio 70 añejo 750ml,,0,0,9
446,Vodka absolut pear 750ml,,0,0,9
447,Vodka absolut citron 750ml,,0,0,9
448,Vodka absolut mandarina 750ml,,0,0,9
449,Don julio reposado 750ml,,0,0,9
450,Wky. clan mac gregor 750ml,,0,0,9
451,Wky. j & b 750ml,,0,0,9
452,Wky. j & b 1 lt,,0,0,9
453,Ron baraima blanco 700ml,,0,0,9
454,Herradura blanco 700ml,,0,0,9
455,San matias reposado 250ml,,0,0,9
456,Herradura reposado 700ml,,0,0,9
